Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
"Craven County, dba: Craven Area Rural Transit System",New Bern,NC,40210,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,37,North Carolina Non-UZA,"4,506,122",20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Autauga County Commission, dba: Autauga County Rural Transportation",Prattville,AL,40213,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,58600,"Montgomery, AL","254,348",13,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Cabarrus County , dba: Cabarrus County Transportation",Concord,NC,40214,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,19558,"Concord, NC","278,612",22,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Union County, dba: Union County Transportation",Monroe,NC,40215,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,15670,"Charlotte, NC--SC","1,379,873",25,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Rowan County, dba: Rowan Transit System",Salisbury,NC,40217,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,19558,"Concord, NC","278,612",22,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of La Grange, dba: Oldham's Public Bus",La Grange,KY,40218,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,21,Kentucky Non-UZA,"2,626,585",1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Pitt County, dba: Pitt Area Transit System",Greenville,NC,40220,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,35380,"Greenville, NC","120,150",14,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Gaston County,Gastonia,NC,40221,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,32653,"Gastonia, NC","176,897",13,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Cumberland County,Fayetteville,NC,40223,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,29440,"Fayetteville, NC","325,008",12,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Alamance County Transportation Authority,Burlington,NC,40225,Independent Public Agency or Authority of Transit Service,Reduced Reporter,11728,"Burlington, NC","145,311",27,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Mountain Projects, Inc.",Waynesville,NC,40226,Private-Non-Profit Corporation,Reduced Reporter,3358,"Asheville, NC","285,776",24,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
Onslow United Transit System,Jacksonville,NC,40227,Private-Non-Profit Corporation,Reduced Reporter,42400,"Jacksonville, NC","111,224",20,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Henderson County, dba: Apple Country Public Transit",Hendersonville,NC,40229,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3358,"Asheville, NC","285,776",4,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Orange County , dba: Orange County Public Transportation",Hillsborough,NC,40231,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,25228,"Durham, NC","396,118",18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Salisbury , dba: Salisbury Transit",Salisbury,NC,40233,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,19558,"Concord, NC","278,612",5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Autonomous Municipality of Ponce,Ponce,PR,40234,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,70642,"Ponce, PR","118,345",27,1,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,2,7
"Lancaster County Council on Aging, dba: Lancaster Area Ride Service",Lancaster,SC,40237,Private-Non-Profit Corporation,Reduced Reporter,15670,"Charlotte, NC--SC","1,379,873",15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Coconut Creek,Coconut Creek,FL,40238,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",4,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Deerfield Beach, dba: Northeast Focal Point",Deerfield Beach,FL,40239,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Lighthouse Point,Lighthouse Point,FL,40240,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Miramar , dba: Public Works Department",Miramar,FL,40241,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"Center for Pan Asian Community Services, Inc.",Atlanta,GA,40246,Private-Non-Profit Corporation,Reduced Reporter,3817,"Atlanta, GA","5,100,112",9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Town of Hillsboro Beach,Hillsboro Beach,FL,40248,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Hallandale Beach,Hallandale Beach,FL,40249,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Lauderdale Lakes,Lauderdale Lakes,FL,40250,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Pembroke Pines,Pembroke Pines,FL,40251,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City Of Burlington, dba: Link Transit",Burlington,NC,40252,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,11728,"Burlington, NC","145,311",7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Coral Springs,Coral Springs,FL,40253,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Lauderhill,Lauderhill,FL,40254,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Margate,Margate,FL,40256,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Pompano Beach,Pompano Beach,FL,40257,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Town of Lauderdale-By-The-Sea,Lauderdale by the Sea,FL,40260,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Dania Beach,Dania Beach,FL,40261,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Town of Davie,Davie,FL,40262,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Municipality of Ciales,Ciales,PR,40268,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Municipality of Añasco,Anasco,PR,40269,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,631,"Aguadilla--Isabela--San Sebastián, PR","232,573",5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
City of Rock Hill,Rock Hill,SC,40270,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,75745,"Rock Hill, SC","218,443",10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Florida Department of Transportation, District 1 Office",Tallahassee,FL,40271,State Government Unit or Department of Transportation,Reduced Reporter,13510,"Cape Coral, FL","599,242",28,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Civic Volunteer Organization of Barefoot Bay,Barefoot Bay,FL,40272,Private-Non-Profit Corporation,Reduced Reporter,67105,"Palm Bay--Melbourne, FL","510,675",1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Brevard Alzheimer's Foundation Inc.,Melbourne,FL,40273,Private-Non-Profit Corporation,Reduced Reporter,67105,"Palm Bay--Melbourne, FL","510,675",16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Town of Morrisville,Morrisville,NC,40274,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,73261,"Raleigh, NC","1,106,646",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Three Rivers Regional Commission,Griffin,GA,40905,"MPO, COG or Other Planning Agency",Reduced Reporter,13,Georgia Non-UZA,"3,592,882",24,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Municipality of Orocovis,Orocovis,PR,40958,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Bartow County , dba: Bartow County Transit",Cartersville,GA,41027,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3817,"Atlanta, GA","5,100,112",12,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Flagler County Public Transportation,Bunnell,FL,41068,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,22612,"Daytona Beach--Palm Coast--Port Orange, FL","402,126",20,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Forsyth County Board of Commissioners, dba: Access Forsyth",Cumming,GA,41088,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3817,"Atlanta, GA","5,100,112",13,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze",Bluffton,SC,41092,Independent Public Agency or Authority of Transit Service,Reduced Reporter,8601,"Bluffton East--Hilton Head Island, SC","71,824",29,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Coweta County,Newnan,GA,41133,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,3817,"Atlanta, GA","5,100,112",8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"County of Citrus, dba: Citrus County Transit",Inverness,FL,41157,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,7472,"Beverly Hills--Homosassa Springs--Pine Ridge, FL","96,729",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Municipality of Comerio,Comerio,PR,41182,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,79093,"San Juan, PR","1,844,410",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Catawba Indian Nation,Rock Hill,SC,44907,Tribe,Reduced Reporter,45,South Carolina Non-UZA,"2,074,919",7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern Band of Cherokee Indians,Cherokee,NC,44913,Tribe,Reduced Reporter,37,North Carolina Non-UZA,"4,506,122",20,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"Poarch Band of Creek Indians, dba: Indian Tribe",Atmore,AL,44919,Tribe,Reduced Reporter,1,Alabama Non-UZA,"2,587,288",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Mississippi Band of Choctaw Indians,Choctaw,MS,44925,Tribe,Reduced Reporter,28,Mississippi Non-UZA,"2,100,239",15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Tamarac,Tamarac,FL,44932,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Municipality of Arroyo,Arroyo,PR,44953,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,35866,"Guayama, PR","52,290",2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Bay Mills Indian Community,Brimley,MI,50007,Tribe,Reduced Reporter,26,Michigan Non-UZA,"3,418,966",1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Oshkosh, Wisconsin, dba: GO Transit",Oshkosh,WI,50009,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,66160,"Oshkosh, WI","76,190",23,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"Red Cliff Band of Lake Superior Chippewa, dba: Red Cliff (Miskwaabekong) Transit",Bayfield,WI,50013,Tribe,Reduced Reporter,55,Wisconsin Non-UZA,"2,782,206",5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Forest County Potawatomi Community,Crandon,WI,50014,Tribe,Reduced Reporter,55,Wisconsin Non-UZA,"2,782,206",8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Middletown, dba: Middletown Transit System",Middletown,OH,50019,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56926,"Middletown, OH","93,608",5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Springfield, Ohio, dba: Springfield City Area Transit",Springfield,OH,50020,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,83980,"Springfield, OH","82,369",13,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Battle Creek, dba: Battle Creek Transit",Battle Creek,MI,50030,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,5707,"Battle Creek, MI","75,513",22,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
"County of Muskegon, dba: Muskegon Area Transit System",Muskegon,MI,50037,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,60841,"Muskegon--Norton Shores, MI","166,414",15,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Niles , dba: Niles Dial-A-Ride Transportation",Niles,MI,50038,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,83116,"South Bend, IN--MI","278,921",6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Anderson , dba: City of Anderson Transit System",Anderson,IN,50041,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2386,"Anderson, IN","79,517",12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of East Chicago, dba: East Chicago Transit",East Chicago,IN,50042,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,16264,"Chicago, IL--IN","8,671,746",3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Sheboygan, dba: Shoreline Metro",Sheboygan,WI,50088,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,81118,"Sheboygan, WI","74,369",20,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Richland County Transit,Mansfield,OH,50090,Independent Public Agency or Authority of Transit Service,Reduced Reporter,54091,"Mansfield, OH","73,545",12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Wausau, Wisconsin, dba: Metro Ride",Wausau,WI,50091,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,93025,"Wausau, WI","77,429",21,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Lima Allen County Regional Transit Authority,Lima,OH,50093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,49852,"Lima, OH","68,630",18,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
"Lorain County, dba: Lorain County Transit",Elyria,OH,50095,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,51364,"Lorain--Elyria, OH","199,067",15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Michigan , dba: Michigan City Transit",Michigan City,IN,50098,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56656,"Michigan City--La Porte, IN--MI","71,367",8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"North Township of Lake County , dba: Dial-A-Ride",Hammond,IN,50103,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,16264,"Chicago, IL--IN","8,671,746",7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Henderson, dba: Henderson Area Rapid Transit",Henderson,KY,50107,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,21,Kentucky Non-UZA,"2,626,585",5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Janesville, dba: Janesville Transit System",Janesville,WI,50108,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,42562,"Janesville, WI","72,285",17,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Beloit, dba: Beloit Transit System",Beloit,WI,50109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,6760,"Beloit, WI--IL","63,073",10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"Opportunity Enterprises, Inc.",Valparaiso,IN,50131,Private-Non-Profit Corporation,Reduced Reporter,16264,"Chicago, IL--IN","8,671,746",15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Twin Cities Area Transportation Authority,Benton Harbor,MI,50132,Independent Public Agency or Authority of Transit Service,Reduced Reporter,7138,"Benton Harbor--Lincoln--St. Joseph, MI","61,888",24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Chippewa Falls, dba: Chippewa Falls Shared Ride Taxi",Chippewa Falls,WI,50133,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,26038,"Eau Claire, WI","105,475",8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Steel Valley Regional Transit Authority,Steubenville,OH,50142,Independent Public Agency or Authority of Transit Service,Reduced Reporter,84859,"Steubenville--Weirton, OH--WV--PA","64,981",11,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Onalaska, dba: Onalaska Shared Ride Taxi City of Onalaska",Onalaska,WI,50152,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,45910,"La Crosse, WI--MN","98,872",9,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of La Porte, Indiana, dba: TransPorte",La Porte,IN,50162,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56656,"Michigan City--La Porte, IN--MI","71,367",5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"South Lake County Community Services, Inc., dba: Lake County Community Services, Inc.",Crown Point,IN,50167,Private-Non-Profit Corporation,Reduced Reporter,16264,"Chicago, IL--IN","8,671,746",15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit",Fond Du Lac,WI,50171,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,30223,"Fond du Lac, WI","54,731",22,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Danville, dba: Danville Mass Transit",Danville,IL,50174,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,15211,"Champaign, IL","147,452",12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
"City of Columbus, dba: ColumBus Transit",Columbus,IN,50177,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,19126,"Columbus, IN","60,982",9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
"Porter County Aging and Community Services, Inc.",Valparaiso,IN,50179,Private-Non-Profit Corporation,Reduced Reporter,16264,"Chicago, IL--IN","8,671,746",7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Livingston County Board of Commissioners, dba: Livingston Essential Transportation Service",Howell,MI,50180,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,83332,"South Lyon--Hamburg--Genoa, MI","145,963",28,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Valparaiso, dba: Valpo",Valparaiso,IN,50183,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,90095,"Valparaiso--Shorewood Forest, IN","51,867",13,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3
Lawrence County Port Authority,South Point,OH,50186,Independent Public Agency or Authority of Transit Service,Reduced Reporter,40753,"Huntington, WV--KY--OH","200,157",20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Boone County Council on Aging,Belvidere,IL,50194,Private-Non-Profit Corporation,Reduced Reporter,75718,"Rockford, IL","276,443",7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Shelby,Shelby,OH,50195,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,54091,"Mansfield, OH","73,545",1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Harbor Transit Multi-Modal Transportation System, dba: Harbor Transit",Grand Haven,MI,50196,Independent Public Agency or Authority of Transit Service,Reduced Reporter,60841,"Muskegon--Norton Shores, MI","166,414",20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
