Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
"Community Services, Inc.",8,0,222321.0,1945.0,1746.9,,,,,,,,,,,,,,,,
"Community Transit of Watertown/Sisseton, Inc.",50,0,,,,,,,,,,,,,,,,,,,
"Community Transit, Inc.",13,0,324278.0,89.0,3248.12,,,,,,,,,,,,,,,,
Concho Valley Transit District,70,1249791,162152.0,15355.0,49.27,2412.0,194366.0,0.0,0.0,0.0,0.0,0.0,0.0,196778.0,0.0,60102.0,San Angelo,TX,"San Angelo, TX",,113.0
"Confederated Salish and Kootenai Tribes, dba: CSKT Transit",36,0,,,0.0,,,,,,,,,,,,,,,,
Confederated Tribes and Bands of The Yakama Nation,10,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Confederated Tribes of the Colville Indian Reservation,10,0,,,0.0,,,,,,,,,,,,,,,,
Confederated Tribes of the Umatilla Indian Reservation,14,0,,,0.0,,,,,,,,,,,,,,,,
Connecticut Department of Transportation,84,2226564,448608.0,171.0,535.93,897870.0,0.0,0.0,0.0,0.0,0.0,1228448.0,0.0,897870.0,1228448.0,,,,,,
Connecticut Department of Transportation - CTTRANSIT - Hartford Division,458,10480508,851535.0,664.0,535.93,,,,,,,,,,,10048.0,Hartford,CT,"Hartford, CT",,762.0
Connecticut Department of Transportation - CTTRANSIT New Haven Division,99,4789468,531314.0,456.0,298.01,,,,,,,,,,,10055.0,Hartford,CT,"New Haven, CT",,387.0
Connecticut Department of Transportation - CTTRANSIT Stamford Division,41,1604285,281327.0,133.0,397.29,,,,,,,,,,,10056.0,Hartford,CT,"Bridgeport--Stamford, CT--NY",,153.0
Connecticut Department of Transportation - CTTransit New Britain -Dattco.,50,459871,73941.0,13.0,535.93,,,,,,,,,,,,,,,,
Connecticut Department of Transportation -CTTRANSIT New Britain,13,848427,203562.0,81.0,535.93,,,,,,,,,,,,,,,,
Connecticut Department of Transportation- CTTransit Waterbury- NET,126,2160222,238853.0,116.0,92.44,,,,,,,,,,,10128.0,Watertown,CT,"Waterbury, CT",,148.99
Converse County Aging Services,4,0,,,,,,,,,,,,,,,,,,,
Cooperative Alliance for Seacoast Transportation,46,855996,166975.0,368.0,52.31,54253.0,43504.0,0.0,0.0,42510.0,0.0,0.0,0.0,140267.0,0.0,10086.0,Dover,NH,"Dover--Rochester, NH--ME",,63.0
Coos County Area Transit,48,0,,,,,,,,,,,,,,,,,,,
Copiah County Human Resource Agency,9,0,,,,,,,,,,,,,,,,,,,
"Corpus Christi Regional Transportation Authority, dba: The B",468,5428959,350372.0,846.0,129.27,96937.0,238576.0,0.0,687067.0,0.0,0.0,0.0,0.0,1022580.0,0.0,60051.0,Corpus Christi,TX,"Corpus Christi, TX",,212.09
Cortland County,32,0,14827.0,114.0,,,,,,,,,,,,,,,,,
Coshocton County Coordinated Transportation Agency,9,0,,,,,,,,,,,,,,,,,,,
Council on Aging & Human Services (COAST),31,0,42230.0,14.0,,,,,,,,,,,,,,,,,
"Council on Aging of St. Lucie, Inc., dba: Community Transit",10,0,343579.0,572.0,224.23,,,,,,,,,,,,,,,,
"County Commissioners of Charles County, MD",60,1869870,163257.0,458.0,59.35,,,,,,,,,,,,,,,,
County of Atlantic,33,479070,263670.0,567.0,162.87,4158.0,89271.0,0.0,0.0,0.0,0.0,0.0,0.0,93429.0,0.0,20199.0,Atlantic City,NJ,"Atlantic City--Ocean City--Villas, NJ",,45.0
County of Burlington,6,0,449772.0,833.0,1898.19,,,,,,,,,,,,,,,,
County of Butler,14,0,,,,,,,,,,,,,,,,,,,
"County of Carbon, dba: Carbon County Community Transit",28,0,64330.0,381.0,261.55,,,,,,,,,,,,,,,,
"County of Citrus, dba: Citrus County Transit",36,0,30858.0,49.0,118.83,,,,,,,,,,,,,,,,
County of Clark,4,0,,,,,,,,,,,,,,,,,,,
County of Cumberland,5,0,154152.0,678.0,56.99,,,,,,,,,,,,,,,,
"County of Douglas, dba: Connect Douglas",48,480865,142224.0,201.0,2553.04,0.0,65907.0,0.0,0.0,0.0,0.0,0.0,0.0,65907.0,0.0,40082.0,Douglasville,GA,"Atlanta, GA",,5.99
"County of Fayette, dba: Fayette Area Coordinated Transportation",52,1314398,136606.0,812.0,0.0,10665.0,122702.0,0.0,35281.0,0.0,0.0,0.0,0.0,168648.0,0.0,30087.0,Uniontown,PA,Pennsylvania Non-UZA,,45.69
"County of Hawaii Mass Transit Agency, dba: County of Hawai'i Mass Transit Agency",385,0,,,,,,,,,,,,,,,,,,,
County of Hunterdon,48,0,128349.0,438.0,3248.12,,,,,,,,,,,,,,,,
County of Hyde,2,0,,,,,,,,,,,,,,,,,,,
"County of Johnson, Iowa, dba: Johnson County SEATS",17,428221,152854.0,614.0,50.83,6063.0,61618.0,0.0,0.0,0.0,0.0,0.0,0.0,67681.0,0.0,70045.0,Iowa City,IA,"Iowa City, IA",,42.38
County of Kaua'i - Transportation Agency,80,0,,,16.68,,,,,,,,,,,,,,,,
County of Kenosha,4,0,,,127.61,,,,,,,,,,,,,,,,
County of La Crosse,4,0,,,,,,,,,,,,,,,,,,,
County of Lackawanna Transit System,288,1957332,214437.0,170.0,162.16,83283.0,83222.0,0.0,163207.0,0.0,0.0,0.0,0.0,329712.0,0.0,30025.0,Scranton,PA,"Scranton, PA",,147.0
County of Lebanon Transit Authority,48,765802,133568.0,362.0,32.71,,,,,,,,,,,30095.0,Lebanon,PA,"Lebanon, PA",,40.0
County of Maui,201,2997937,78477.0,727.0,13.52,321839.0,156144.0,0.0,0.0,0.0,0.0,0.0,0.0,477983.0,0.0,,,,,,
County of Mercer,24,0,367063.0,226.0,133.13,,,,,,,,,,,,,,,,
"County of Mesa, dba: Mesa County",36,0,117471.0,69.0,75.61,,,,,,,,,,,,,,,,
"County of Miami-Dade , dba: Transportation & Public Work",9373,60878000,2701767.0,306.0,1244.18,1874879.0,1516487.0,0.0,7080880.0,0.0,0.0,75860587.0,0.0,10472246.0,75860587.0,40034.0,Miami,FL,"Miami--Fort Lauderdale, FL",,
"County of Muskegon, dba: Muskegon Area Transit System",45,0,88639.0,52.0,112.06,,,,,,,,,,,,,,,,
"County of Nassau, dba: Nassau Inter County Express",638,11840891,1357514.0,285.0,3248.12,33342.0,231637.0,0.0,2237326.0,0.0,0.0,0.0,0.0,2502305.0,0.0,,,,,,
County of Niagara,4,0,,,,,,,,,,,,,,,,,,,
"County of Pierce, dba: Pierce County Ferry",2,44548,925708.0,233.0,982.52,194380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194380.0,0.0,,,,,,
"County of Placer, dba: Placer County Department of Public Works",225,2229006,392258.0,169.0,467.58,,,,,,,,,,,90196.0,Auburn,CA,"Sacramento, CA",,69.35
"County of Rensselaer, dba: Rensselaer County Planning Department",1,0,351997.0,175.0,,,,,,,,,,,,,,,,,
"County of Rockland , dba: Public Transportation - Transport of Rockland",106,2744759,325789.0,176.0,3248.12,391733.0,86870.0,0.0,0.0,0.0,0.0,0.0,0.0,478603.0,0.0,20084.0,New City,NY,"New York--Jersey City--Newark, NY--NJ",,59.0
County of Sacramento Municipal Services Agency Department of Transportation,39,0,,,467.58,,,,,,,,,,,,,,,,
"County of Siskiyou, dba: Siskiyou County Transit",5,0,,,,,,,,,,,,,,,,,,,
"County of Sonoma , dba: Sonoma County Transit",90,2222931,484674.0,390.0,79.39,0.0,74925.0,0.0,332093.0,0.0,0.0,0.0,55583.0,407018.0,55583.0,,,,,,
County of Ventura,6,0,13987.0,4.0,80.2,,,,,,,,,,,,,,,,
"County of Volusia, dba: VOTRAN",735,5407490,494593.0,1207.0,212.36,607462.0,322545.0,14219.0,0.0,0.0,0.0,0.0,0.0,944226.0,0.0,40032.0,Daytona Beach,FL,"Daytona Beach--Palm Coast--Port Orange, FL",,330.0
County of Walworth,17,0,,,,,,,,,,,,,,,,,,,
"County of Warren, dba: Warren County Transit Service",11,0,118747.0,72.0,752.28,,,,,,,,,,,,,,,,
"County of Washington, dba: Washington County Transit",72,1501468,136761.0,435.0,463.68,62568.0,100664.0,0.0,0.0,0.0,0.0,0.0,0.0,163232.0,0.0,,,,,,
Covington Area Transit System,5,0,,,,,,,,,,,,,,,,,,,
Coweta County,8,0,146158.0,441.0,2553.04,,,,,,,,,,,,,,,,
"Cowley County Council on Aging, Inc.",5,0,236373.0,184.0,,,,,,,,,,,,,,,,,
Cowlitz Indian Tribe,7,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Craig Tribal Association,2,0,,,0.0,,,,,,,,,,,,,,,,
"Craven County, dba: Craven Area Rural Transit System",40,0,122273.0,1803.0,0.0,,,,,,,,,,,,,,,,
Crawford Area Transportation Authority,84,0,61634.0,33.0,,,,,,,,,,,,,,,,,
Crawford County Transit,3,0,,,,,,,,,,,,,,,,,,,
Crawford County Transportation Authority,17,0,,,,,,,,,,,,,,,,,,,
Crisp County Transit,5,0,,,,,,,,,,,,,,,,,,,
Crow Tribe of Indians,12,0,,,0.0,,,,,,,,,,,,,,,,
"Crowley's Ridge Development Council, Inc. (NEAT), dba: North East Arkansas Transit",9,0,,,46.49,,,,,,,,,,,,,,,,
Cullman County Commission,30,0,,,,,,,,,,,,,,,,,,,
Cumberland County,12,0,329403.0,658.0,195.92,,,,,,,,,,,,,,,,
"Cumberland County, dba: Cumberland Area Transit System",20,0,156898.0,484.0,56.99,,,,,,,,,,,,,,,,
"Cumberland Dauphin-Harrisburg Transit Authority, dba: Capital Area Transit",460,3199843,511009.0,137.0,250.25,0.0,173118.0,0.0,0.0,394974.0,0.0,0.0,0.0,568092.0,0.0,30014.0,,PA,"Harrisburg, PA",,131.0
"Curry County Public Transit Service District, dba: Curry Public Transit Inc",22,0,,,,,,,,,,,,,,,,,,,
Custer County Council on Aging,4,0,,,,,,,,,,,,,,,,,,,
DDOT - Progressive Transportation Services Administration,122,1534494,317779.0,24.0,1294.51,349839.0,0.0,0.0,0.0,0.0,0.0,1572969.0,1040748.0,349839.0,2613717.0,,,,,,
"DJ Transit, Inc.",15,0,,,,,,,,,,,,,,,,,,,
Dade County Transit,7,0,,,,,,,,,,,,,,,,,,,
Dallas Area Rapid Transit,5600,44402654,2530800.0,698.0,1746.9,1460507.0,3518.0,0.0,7851380.0,0.0,0.0,117051226.0,250496.0,9315405.0,117301722.0,60056.0,Dallas,TX,"Dallas--Fort Worth--Arlington, TX",,
Daniel Boone Development Council,71,0,,,,,,,,,,,,,,,,,,,
Daniels Memorial Healthcare Foundation,3,0,,,,,,,,,,,,,,,,,,,
Dare County,5,0,,,,,,,,,,,,,,,,,,,
"Davidson County , dba: Davidson County Transportation",54,0,168860.0,500.0,100.79,,,,,,,,,,,,,,,,
Dawson County Transit,4,0,,,,,,,,,,,,,,,,,,,
DeCamp Bus Lines,14,609618,892714.0,74.0,3248.12,214773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214773.0,0.0,20161.0,Montclair,NJ,"New York--Jersey City--Newark, NY--NJ",,89.0
"DeKalb County Council on Aging , dba: Dekalb Area Rural Transit",7,0,,,,,,,,,,,,,,,,,,,
Decatur County Transportation Bus,2,0,,,,,,,,,,,,,,,,,,,
Dekalb County Commission,10,0,,,,,,,,,,,,,,,,,,,
Delaware County Transit Board,21,621046,220740.0,459.0,516.16,3584.0,77067.0,0.0,0.0,0.0,0.0,0.0,0.0,80651.0,0.0,50199.0,Delaware,OH,"Columbus, OH",,63.0
Delaware Transit Corporation,2640,17867018,989948.0,1949.0,1898.19,1757611.0,42657.0,1399118.0,0.0,0.0,0.0,0.0,475248.0,3199386.0,475248.0,30075.0,Dover,DE,"Philadelphia, PA--NJ--DE--MD",,985.0
"Delaware, Dubuque & Jackson County Regional Transi",17,0,,,,,,,,,,,,,,,,,,,
Delta Area Transit Authority,19,0,,,,,,,,,,,,,,,,,,,
"Delta Community Action Foundation, Inc.",10,0,,,,,,,,,,,,,,,,,,,
Delta Human Resource Agency,53,0,,,,,,,,,,,,,,,,,,,
Denton County Transportation Authority,1098,6351040,593632.0,155.0,150.48,424401.0,256046.0,0.0,0.0,0.0,0.0,0.0,0.0,680447.0,0.0,60101.0,Lewisville,TX,"Denton--Lewisville, TX",,97.66
Denver Regional Council of Governments,51,844915,2887496.0,461.0,644.54,0.0,32432.0,0.0,0.0,0.0,0.0,0.0,0.0,32432.0,0.0,,,,,,
Denver Regional Transportation District,5586,55521206,2920000.0,2342.0,644.54,,,,,,,,,,,80006.0,Denver,CO,"Denver--Aurora, CO",,
Des Moines Area Regional Transit Authority,608,4963765,354320.0,136.0,224.74,759289.0,50214.0,0.0,0.0,0.0,0.0,0.0,232176.0,809503.0,232176.0,70010.0,Des Moines,IA,"Des Moines, IA",,295.56
Desoto Council on Aging,6,0,,,,,,,,,,,,,,,,,,,
Detroit Transportation Corporation,4,20123,92477.0,3.0,1284.83,,,,,,,,,,,50141.0,Detroit,MI,"Detroit, MI",,73.0
"Developmental Services of Northwest Kansas, Inc.",22,0,,,,,,,,,,,,,,,,,,,
Devils Lake Transit  (Senior Meals & Services),6,0,,,,,,,,,,,,,,,,,,,
Dickey County Senior Citizens,2,0,,,,,,,,,,,,,,,,,,,
"Disability Services, Inc., dba: Envida",50,0,515853.0,275.0,200.36,,,,,,,,,,,,,,,,
"District Three Governmental Cooperative, dba: Mountain Lynx Transit",54,0,186722.0,2777.0,68.69,,,,,,,,,,,,,,,,
Dodge County Transit,6,0,,,,,,,,,,,,,,,,,,,
"Doger Area Rapids Transit, City of Fort Dodge",30,0,,,,,,,,,,,,,,,,,,,
Dolores County Senior Services,8,0,,,,,,,,,,,,,,,,,,,
Doniphan County,5,0,,,,,,,,,,,,,,,,,,,
Dooly County Transit,7,0,,,,,,,,,,,,,,,,,,,
Door County,18,0,,,,,,,,,,,,,,,,,,,
Dorchester County Council,56,0,,,,,,,,,,,,,,,,,,,
Douglas Area Rural Transit,40,0,,,,,,,,,,,,,,,,,,,
"Douglas County (Illinois), dba: Coles County Council on Aging",4,0,,,,,,,,,,,,,,,,,,,
Dowagiac Dial-A--Ride,2,0,,,,,,,,,,,,,,,,,,,
"Downeast Community Partners, Inc.",28,0,,,,,,,,,,,,,,,,,,,
"Downeast Transportation, Inc.",68,0,,,,,,,,,,,,,,,,,,,
Duluth Transit Authority,122,2185898,102334.0,69.0,66.87,0.0,27246.0,0.0,0.0,382264.0,0.0,0.0,298264.0,409510.0,298264.0,50025.0,Duluth,MN,"Duluth, MN--WI",,209.97
"Dunklin County Transit Service, Inc.",15,0,,,,,,,,,,,,,,,,,,,
Dunn County Transit Commission,8,0,,,,,,,,,,,,,,,,,,,
Duplin County,9,0,,,,,,,,,,,,,,,,,,,
"Dutchess County, dba: Dutchess County Public Transit",94,1525862,314766.0,175.0,209.92,261092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261092.0,0.0,20010.0,Poughkeepsie,NY,"Poughkeepsie--Newburgh, NY",,97.0
"Eagle County Regional Transportation Authority, dba: ECO Transit",21,0,,,,,,,,,,,,,,,,,,,
East Alabama Regional Planning and Development Commission,56,0,319979.0,4992.0,78.9,,,,,,,,,,,,,,,,
"East Central Council of Local Governments, dba: Outback Express Total System",3,0,,,,,,,,,,,,,,,,,,,
East Central Iowa Council of Governments,42,625413,74950.0,26.0,50.83,,,,,,,,,,,,,,,,
"East Dakota Transit, Inc.",3,0,,,,,,,,,,,,,,,,,,,
East Feliciana Council on Aging,7,0,,,,,,,,,,,,,,,,,,,
"East Tennessee Human Resource Agency, Inc.",142,0,1176033.0,6563.0,63.91,,,,,,,,,,,,,,,,
East Texas Council of Governments,102,0,384304.0,981.0,90.26,,,,,,,,,,,,,,,,
Eastern Band of Cherokee Indians,40,0,9014.0,75.0,0.0,,,,,,,,,,,,,,,,
Eastern Nebraska,8,0,,,,,,,,,,,,,,,,,,,
Eastern Panhandle Transit Authority,48,0,183572.0,527.0,120.77,,,,,,,,,,,,,,,,
Eastern Sierra Transit Authority,111,0,,,,,,,,,,,,,,,,,,,
Eastern Upper Peninsula Transportation Authority,33,0,0.0,0.0,,,,,,,,,,,,,,,,,
Easy Lift Transportation,28,0,178200.0,54.0,54.81,,,,,,,,,,,,,,,,
Eaton County Transportation Authority,24,0,200169.0,63.0,136.87,,,,,,,,,,,,,,,,
Edgefield County Senior Citizens Council,11,0,,,,,,,,,,,,,,,,,,,
Educational Center for Independence,4,0,,,,,,,,,,,,,,,,,,,
Effingham County,12,0,,,,,,,,,,,,,,,,,,,
El Dorado County Transit Authority,48,0,148614.0,1719.0,467.58,,,,,,,,,,,,,,,,
El Paso County,200,0,,,255.88,,,,,,,,,,,,,,,,
Elbert County,3,0,,,,,,,,,,,,,,,,,,,
Elk County,2,0,,,,,,,,,,,,,,,,,,,
Elk Valley Rancheria,1,0,,,0.0,,,,,,,,,,,,,,,,
Elko Band Council,1,0,,,0.0,,,,,,,,,,,,,,,,
Elko County,10,0,5843.0,20.0,,,,,,,,,,,,,,,,,
Ellsworth County Council on Aging,1,0,,,,,,,,,,,,,,,,,,,
"Endless Mountains Transportation Authority, dba: BeST Transit",106,0,296066.0,668.0,,,,,,,,,,,,,,,,,
Enid Public Transportation Authority,12,0,,,29.49,,,,,,,,,,,,,,,,
"Enterprise Holdings, LLC",1,4990,500000.0,300.0,180.53,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,,,,,,
Eppson Center for Seniors,3,0,,,,,,,,,,,,,,,,,,,
Erie Metropolitan Transit Authority,156,2552019,189872.0,77.0,73.34,,,,,,,,,,,30013.0,Erie,PA,"Erie, PA",,188.5
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",172,2399322,241661.0,189.0,262.54,246423.0,100210.0,0.0,0.0,0.0,0.0,0.0,0.0,346633.0,0.0,40038.0,Pensacola,FL,"Pensacola, FL--AL",,87.0
Escambia County Commission,8,0,,,,,,,,,,,,,,,,,,,
Essex County Department of Community Development,11,0,,,,,,,,,,,,,,,,,,,
"Estuary Transit District, dba: 9 Town Transit",32,0,87140.0,330.0,535.93,,,,,,,,,,,,,,,,
Etowah County Commission,6,0,,,,,,,,,,,,,,,,,,,
Evangeline Council on Aging,8,0,0.0,0.0,,,,,,,,,,,,,,,,,
FDOT - vanpool,30,0,,,,,,,,,,,,,,,,,,,
"FRS Transportation, Inc",22,0,,,,,,,,,,,,,,,,,,,
Fairbanks North Star Borough,36,0,95593.0,7338.0,74.3,,,,,,,,,,,,,,,,
"Fairfax County, VA, dba: Fairfax Connector Bus System",284,13185923,1164025.0,407.0,1294.51,2526972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2526972.0,0.0,,,,,,
Fairfield County Transit System,14,0,,,,,,,,,,,,,,,,,,,
Fairmont Marion County Transit Authority,56,0,,,,,,,,,,,,,,,,,,,
Fallon County,5,0,,,,,,,,,,,,,,,,,,,
Fallon Paiute-Shoshone Tribe,1,0,,,0.0,,,,,,,,,,,,,,,,
"Fargo Park District , dba: Valley Senior Services",44,0,220414.0,7243.0,77.73,,,,,,,,,,,,,,,,
Faribault-Martin Counties Joint Powers,18,0,,,,,,,,,,,,,,,,,,,
Farmville Area Bus,14,0,,,,,,,,,,,,,,,,,,,
"Fayette County Council Agency on Aging and Aged, dba: Fayette County Public Transit",9,0,,,,,,,,,,,,,,,,,,,
Fayette County Transportation Program,28,0,,,,,,,,,,,,,,,,,,,
Fergus County Council on Aging,8,0,,,,,,,,,,,,,,,,,,,
"Finney County Committee on Aging, Inc.",26,0,,,,,,,,,,,,,,,,,,,
First Tennessee Human Resource Agency,49,2927414,516931.0,2769.0,106.03,0.0,152168.0,48138.0,0.0,0.0,0.0,0.0,0.0,200306.0,0.0,40950.0,Johnson City,TN,"Johnson City, TN",,90.99
First Transit - Steuben,2,0,,,,,,,,,,,,,,,,,,,
First Transit-Olean,5,0,181670.0,1124.0,,,,,,,,,,,,,,,,,
"Five County Child Development Program, Inc.",8,0,,,,,,,,,,,,,,,,,,,
Flagler County Public Transportation,20,0,115081.0,571.0,212.36,,,,,,,,,,,,,,,,
Flathead County Public Transportation,28,0,,,,,,,,,,,,,,,,,,,
"Flint Hills Area Transportation Agency, Inc, dba: ATABUS",48,0,136821.0,1835.0,25.84,,,,,,,,,,,,,,,,
"Florida Department of Transportation, District 1 Office",28,0,2179299.0,1289.0,331.8,,,,,,,,,,,,,,,,
Fond du Lac Reservation,12,0,,,0.0,,,,,,,,,,,,,,,,
"Fond du Lac, Wisconsin , dba: Fond du Lac Area Transit",88,0,49167.0,19.0,24.69,,,,,,,,,,,,,,,,
Foothill Transit,303,15021372,1515836.0,327.0,1636.83,0.0,0.0,0.0,4638806.0,0.0,0.0,0.0,920976.0,4638806.0,920976.0,,,,,,
Forest County Potawatomi Community,8,0,,,0.0,,,,,,,,,,,,,,,,
Forest County Transportation,15,0,,,,,,,,,,,,,,,,,,,
"Forsyth County Board of Commissioners, dba: Access Forsyth",13,0,251283.0,247.0,2553.04,,,,,,,,,,,,,,,,
Fort Belknap Indian Community,2,0,,,0.0,,,,,,,,,,,,,,,,
"Fort Bend County, Texas, dba: Fort Bend County Public Transportation",82,1712349,822779.0,861.0,1752.69,66600.0,159122.0,0.0,0.0,0.0,0.0,0.0,0.0,225722.0,0.0,,,,,,
Fort Peck Tribes,18,0,,,0.0,,,,,,,,,,,,,,,,
Fort Wayne Public Transportation Corporation,80,1842150,279469.0,123.0,163.6,0.0,25049.0,0.0,0.0,294406.0,0.0,0.0,0.0,319455.0,0.0,50044.0,Fort Wayne,IN,"Fort Wayne, IN",,124.4
"Fort Worth Transportation Authority, dba: Trinity Metro",2352,13614253,879939.0,350.0,1746.9,615453.0,382721.0,0.0,2005956.0,0.0,0.0,0.0,195495.0,3004130.0,195495.0,60007.0,Fort Worth,TX,"Dallas--Fort Worth--Arlington, TX",,535.54
"Fosston, City of",1,0,,,,,,,,,,,,,,,,,,,
"Four County Mental Health, Inc.",25,0,,,,,,,,,,,,,,,,,,,
Four County Transit,40,0,,,,,,,,,,,,,,,,,,,
"Four Rivers Resource Services, dba: Ride Solution",96,0,,,,,,,,,,,,,,,,,,,
Frankfort Transit System,50,0,,,,,,,,,,,,,,,,,,,
Franklin County Aging Services,4,0,,,,,,,,,,,,,,,,,,,
Franklin County Public Transportation,45,0,,,,,,,,,,,,,,,,,,,
"Franklin County Senior Services , dba: Franklin County Public Transit",7,0,,,,,,,,,,,,,,,,,,,
Franklin Regional Transit Authority,120,0,,,,,,,,,,,,,,,,,,,
"Frederick County, Maryland, dba: TransIT Services of Frederick County",72,1156253,70036.0,18.0,80.29,,,,,,,,,,,30072.0,Frederick,MD,"Frederick, MD",,103.21
Fremont County Association of Governments,38,0,,,,,,,,,,,,,,,,,,,
Fresno County Rural Transit Agency,130,0,,,,,,,,,,,,,,,,,,,
Friends of Elder Citizens-Jackson and Matagorda,5,0,,,,,,,,,,,,,,,,,,,
Fulton County,1,0,,,,,,,,,,,,,,,,,,,
"Fulton County Council on Aging , dba: Fulton County Public Transit",8,0,,,,,,,,,,,,,,,,,,,
Fulton County Transit Authority,50,0,,,,,,,,,,,,,,,,,,,
"Fulton County, dba: FCRT",6,0,,,,,,,,,,,,,,,,,,,
Futures Unlimited,3,0,,,,,,,,,,,,,,,,,,,
Garden County,3,0,,,,,,,,,,,,,,,,,,,
Garfield County Council on Aging,4,0,,,,,,,,,,,,,,,,,,,
Garfield County Transportation Program,4,0,409271.0,248.0,,,,,,,,,,,,,,,,,
"Garrett County Community Action Committee, Inc",13,0,,,,,,,,,,,,,,,,,,,
Gary Public Transportation Corporation,44,900754,102746.0,38.0,2337.89,116760.0,36582.0,0.0,0.0,0.0,0.0,0.0,0.0,153342.0,0.0,50045.0,Gary,IN,"Chicago, IL--IN",,59.35
Gaston County,26,0,224529.0,364.0,124.58,,,,,,,,,,,,,,,,
Gates County,4,0,,,,,,,,,,,,,,,,,,,
Gateway Community Services Organization,1,0,,,,,,,,,,,,,,,,,,,
Geauga County Transit,14,0,,,,,,,,,,,,,,,,,,,
Generations Unlimited,16,0,,,,,,,,,,,,,,,,,,,
Gila River Indian Community,3,0,,,0.0,,,,,,,,,,,,,,,,
Glacier Valley Transit,4,0,,,,,,,,,,,,,,,,,,,
Gladwin City/County Transit,18,0,,,,,,,,,,,,,,,,,,,
Glascock County Transit,2,0,,,,,,,,,,,,,,,,,,,
Glasgow Transit System,2,0,,,,,,,,,,,,,,,,,,,
"Glen-wood, Inc.",7,0,2401378.0,2882.0,,,,,,,,,,,,,,,,,
Glenn Transit Service,8,0,,,,,,,,,,,,,,,,,,,
Gloucester County,44,0,291636.0,337.0,1898.19,,,,,,,,,,,,,,,,
Gloversville City Hall,12,0,,,,,,,,,,,,,,,,,,,
Gogebic County Transit,6,0,,,,,,,,,,,,,,,,,,,
Gold Coast Transit District,142,2959453,374827.0,84.0,76.61,0.0,19019.0,0.0,764499.0,0.0,0.0,0.0,860.0,783518.0,860.0,90035.0,Oxnard,CA,"Oxnard--San Buenaventura (Ventura), CA",,226.0
Golden Crescent Regional Planning Commission,105,1103695,65534.0,37.0,33.6,9920.0,190662.0,0.0,0.0,0.0,0.0,0.0,0.0,200582.0,0.0,60095.0,Victoria,TX,"Victoria, TX",,98.0
Golden Empire Transit District,182,4098763,500977.0,111.0,132.12,0.0,33534.0,0.0,1326073.0,0.0,0.0,0.0,0.0,1359607.0,0.0,90004.0,Bakersfield,CA,"Bakersfield, CA",,311.0
"Golden Gate Bridge, Highway and Transportation District",177,2827631,834066.0,124.0,513.8,1707464.0,37131.0,0.0,0.0,0.0,0.0,0.0,0.0,1744595.0,0.0,90016.0,San Francisco,CA,"San Francisco--Oakland, CA",,747.0
Golden Spread Rural Frontier Coalition,8,0,,,,,,,,,,,,,,,,,,,
Golden Valley/Billings County Council On Aging,4,0,,,,,,,,,,,,,,,,,,,
Goldsboro-Wayne Transportation Authority,42,0,36303.0,35.0,53.16,,,,,,,,,,,,,,,,
Goliad County,3,0,60603.0,30.0,,,,,,,,,,,,,,,,,
Gonzalez County Senior Citizens Association,4,0,237356.0,75.0,,,,,,,,,,,,,,,,,
Goshen County Senior Friendship Center,4,0,,,,,,,,,,,,,,,,,,,
Gove County Medical Center,2,0,,,,,,,,,,,,,,,,,,,
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System",28,0,,,0.0,,,,,,,,,,,,,,,,
Graham County,9,0,,,,,,,,,,,,,,,,,,,
Grand Gateway EDA/ Pelivan,35,0,,,,,,,,,,,,,,,,,,,
Grand Portage Reservation Tribal Council,16,0,,,0.0,,,,,,,,,,,,,,,,
Grant County,1,0,,,,,,,,,,,,,,,,,,,
Grant County Transportation Authority,160,0,,,,,,,,,,,,,,,,,,,
Grant County Transportation District,12,0,,,,,,,,,,,,,,,,,,,
"Grant County, dba: Corre Caminos Transit",22,0,,,,,,,,,,,,,,,,,,,
"Grant County, dba: Grant/Arthur Handibus",1,0,195413.0,903.0,,,,,,,,,,,,,,,,,
Grays Harbor Transit,132,0,,,,,,,,,,,,,,,,,,,
Great Falls Transit District,46,729165,64735.0,20.0,30.3,89312.0,17788.0,0.0,0.0,0.0,0.0,0.0,0.0,107100.0,0.0,80012.0,Great Falls,MT,"Great Falls, MT",,60.16
Greater Attleboro-Taunton Regional Transit Authority,208,3085059,572140.0,835.0,544.25,162648.0,219340.0,0.0,0.0,0.0,0.0,0.0,6689.0,381988.0,6689.0,,,,,,
